id,fullName,shortName,nationality,dateOfBirth,bowlingStyle,batter_hand,bowler_hand
7,Murali Vijay,M Vijay,Indian,4/1/84,,R,R
24,Faf du Plessis,F du Plessis,South African,7/13/84,LEG_SPIN,R,R
12,Subramaniam Badrinath,S Badrinath,Indian,8/30/80,,R,R
14,Suresh Raina,S Raina,Indian,11/27/86,OFF_SPIN,L,R
1,MS Dhoni,MS Dhoni,Indian,7/7/81,MEDIUM_SEAM,R,R
25,Dwayne Bravo,DJ Bravo,West Indian,10/7/83,MEDIUM_SEAM,R,R
9,Ravindra Jadeja,R Jadeja,Indian,12/6/88,ORTHODOX,L,L
26,Albie Morkel,A Morkel,South African,6/10/81,MEDIUM_SEAM,R,R
8,Ravichandran Ashwin,R Ashwin,Indian,9/17/86,OFF_SPIN,R,R
10,Shadab Jakati,S Jakati,Indian,11/27/80,ORTHODOX,L,L
18,Doug Bollinger,D Bollinger,Australian,7/24/81,FAST_SEAM,L,L
97,Sachin Tendulkar,S Tendulkar,Indian,4/24/73,OFF_SPIN,R,R
266,Richard Levi,R Levi,South African,1/14/88,,R,L
100,Ambati Rayudu,A Rayudu,Indian,9/23/85,OFF_SPIN,R,R
107,Rohit Sharma,R Sharma,Indian,4/30/87,OFF_SPIN,R,R
102,Dinesh Karthik,D Karthik,Indian,6/1/85,OFF_SPIN,R,R
210,Kieron Pollard,K Pollard,West Indian,5/12/87,MEDIUM_SEAM,R,R
209,James Franklin,J Franklin,New Zealander,11/7/80,MEDIUM_SEAM,L,L
103,Harbhajan Singh,H Singh,Indian,7/3/80,OFF_SPIN,R,R
211,Lasith Malinga,L Malinga,Sri Lankan,8/28/83,FAST_SEAM,R,R
98,Abu Nechim,A Nechim,Indian,11/5/88,MEDIUM_SEAM,R,R
106,Pragyan Ojha,P Ojha,Indian,9/5/86,ORTHODOX,L,L
84,Gautam Gambhir,G Gambhir,Indian,10/14/81,LEG_SPIN,L,R
198,Jacques Kallis,J Kallis,South African,10/16/75,FAST_SEAM,R,R
89,Manoj Tiwary,M Tiwary,Indian,11/14/85,,R,R
96,Yusuf Pathan,Y Pathan,Indian,11/17/82,OFF_SPIN,R,R
202,Brendon McCullum,B McCullum,New Zealander,9/27/81,MEDIUM_SEAM,R,R
88,Laxmi Ratan Shukla,L Ratan Shukla,Indian,5/6/81,MEDIUM_SEAM,R,R
92,Rajat Bhatia,R Bhatia,Indian,10/22/79,MEDIUM_SEAM,R,R
196,Brett Lee,B Lee,Australian,11/8/76,FAST_SEAM,R,R
85,Iqbal Abdulla,I Abdulla,Indian,12/2/89,ORTHODOX,L,L
204,Marchant de Lange,M de Lange,South African,10/13/90,FAST_SEAM,L,L
259,Debabrata Das,D Das,Indian,9/22/86,,R,L
52,Naman Ojha,N Ojha,Indian,7/20/83,,R,R
45,Virender Sehwag,V Sehwag,Indian,10/20/78,OFF_SPIN,R,R
167,Aaron Finch,A Finch,Australian,11/17/86,ORTHODOX,R,L
62,Venugopal Rao,V Rao,Indian,2/26/82,OFF_SPIN,R,R
282,Glenn Maxwell,G Maxwell,Australian,10/14/88,OFF_SPIN,R,R
169,Morne Morkel,M Morkel,South African,10/6/84,FAST_SEAM,L,R
49,Irfan Pathan,I Pathan,Indian,10/27/84,MEDIUM_SEAM,L,L
64,Yogesh Nagar,Y Nagar,Indian,1/6/90,,R,R
173,Roelof van der Merwe,R van der Merwe,Dutch,12/31/84,ORTHODOX,R,L
59,Umesh Yadav,U Yadav,Indian,10/25/87,FAST_SEAM,R,R
57,Shahbaz Nadeem,S Nadeem,Indian,8/12/89,ORTHODOX,R,L
108,Suryakumar Yadav,S Yadav,Indian,9/14/90,,R,R
104,Munaf Patel,M Patel,Indian,7/12/83,MEDIUM_SEAM,R,R
127,Robin Uthappa,R Uthappa,Indian,11/11/85,,R,R
130,Sourav Ganguly,S Ganguly,Indian,7/8/72,MEDIUM_SEAM,L,R
218,Callum Ferguson,C Ferguson,Australian,11/21/84,,R,L
272,Marlon Samuels,M Samuels,West Indian,2/5/81,OFF_SPIN,R,R
123,Manish Pandey,M Pandey,Indian,9/10/89,MEDIUM_SEAM,R,R
271,Steve Smith,S Smith,Australian,6/2/89,LEG_SPIN,R,R
116,Bhuvneshwar Kumar,B Kumar,Indian,2/5/90,MEDIUM_SEAM,R,R
126,Rahul Sharma,R Sharma,Indian,11/30/86,LEG_SPIN,R,R
223,Wayne Parnell,W Parnell,South African,7/30/89,MEDIUM_SEAM,L,L
125,Murali Kartik,M Kartik,Indian,9/11/76,ORTHODOX,L,L
48,Ashok Dinda,A Dinda,Indian,3/25/84,FAST_SEAM,R,R
135,Ajinkya Rahane,A Rahane,Indian,6/6/88,MEDIUM_SEAM,R,R
131,Rahul Dravid,R Dravid,Indian,1/11/73,OFF_SPIN,R,R
224,Johan Botha,J Botha,South African,5/2/82,OFF_SPIN,L,L
139,Ashok Menaria,A Menaria,Indian,10/29/90,ORTHODOX,L,L
229,Brad Hodge,B Hodge,Australian,12/29/74,OFF_SPIN,R,R
138,Ankeet Chavan,A Chavan,Indian,10/28/85,ORTHODOX,L,L
275,Owais Shah,O Shah,English,10/22/78,,R,R
95,Shreevats Goswami,S Goswami,Indian,5/18/89,,L,L
232,Kevon Cooper,K Cooper,West Indian,2/2/89,MEDIUM_SEAM,L,L
137,Amit Singh,A Singh,Indian,6/21/81,MEDIUM_SEAM,R,R
147,Siddharth Trivedi,S Trivedi,Indian,9/4/82,MEDIUM_SEAM,R,R
65,Adam Gilchrist,A Gilchrist,Australian,11/14/71,OFF_SPIN,L,R
66,Abhishek Nayar,A Nayar,Indian,10/8/83,MEDIUM_SEAM,L,L
69,Bipul Sharma,B Sharma,Indian,9/28/83,ORTHODOX,L,L
186,David Hussey,D Hussey,Australian,7/15/77,OFF_SPIN,L,L
75,Paul Valthaty,P Valthaty,Indian,12/7/83,OFF_SPIN,L,L
191,Shaun Marsh,S Marsh,Australian,7/9/83,ORTHODOX,L,L
72,Mandeep Singh,M Singh,Indian,12/18/91,OFF_SPIN,R,R
76,Piyush Chawla,P Chawla,Indian,12/24/88,LEG_SPIN,L,R
193,James Faulkner,J Faulkner,Australian,4/29/90,MEDIUM_SEAM,R,L
70,Harmeet Singh Bansal,H Singh Bansal,Indian,10/9/87,MEDIUM_SEAM,R,R
77,Praveen Kumar,P Kumar,Indian,10/2/86,MEDIUM_SEAM,R,R
234,Andrew McDonald,A McDonald,Australian,6/5/81,,R,R
158,Mayank Agarwal,M Agarwal,Indian,2/18/91,,R,R
164,Virat Kohli,V Kohli,Indian,11/5/88,MEDIUM_SEAM,R,R
163,Saurabh Tiwary,S Tiwary,Indian,12/30/89,,L,R
243,Daniel Vettori,D Vettori,New Zealander,1/27/79,ORTHODOX,L,L
233,AB de Villiers,AB de Villiers,South African,2/17/84,MEDIUM_SEAM,R,R
166,Vinay Kumar,V Kumar,Indian,2/12/84,MEDIUM_SEAM,R,R
156,Cheteshwar Pujara,C Pujara,Indian,1/25/88,LEG_SPIN,R,R
165,Zaheer Khan,Z Khan,Indian,10/7/78,FAST_SEAM,R,L
157,Harshal Patel,H Patel,Indian,11/23/90,MEDIUM_SEAM,R,R
241,Muttiah Muralitharan,M Muralitharan,Sri Lankan,4/17/72,OFF_SPIN,R,R
176,Doug Bracewell,D Bracewell,New Zealander,9/28/90,MEDIUM_SEAM,R,R
185,Daniel Harris,D Harris,Australian,12/31/75,,L,L
41,Shikhar Dhawan,S Dhawan,Indian,12/5/85,OFF_SPIN,L,R
44,Parthiv Patel,P Patel,Indian,3/9/85,,L,L
35,Bharat Chipli,B Chipli,Indian,1/27/83,,R,R
178,Cameron White,C White,Australian,8/18/83,,R,R
181,Dan Christian,D Christian,Australian,5/4/83,MEDIUM_SEAM,R,R
36,Dwaraka Ravi Teja,D Ravi Teja,Indian,9/5/87,,R,R
32,Ankit Sharma,A Sharma,Indian,4/20/91,ORTHODOX,L,L
40,Manpreet Gony,M Gony,Indian,1/1/84,FAST_SEAM,R,R
246,TP Sudhindra,TP Sudhindra,Indian,4/24/84,MEDIUM_SEAM,R,R
180,Dale Steyn,D Steyn,South African,6/27/83,FAST_SEAM,R,R
203,Sunil Narine,S Narine,West Indian,5/26/88,OFF_SPIN,L,R
220,Jesse Ryder,J Ryder,New Zealander,8/6/84,MEDIUM_SEAM,L,R
115,Ashish Nehra,A Nehra,Indian,4/29/79,MEDIUM_SEAM,R,L
188,Dimitri Mascarenhas,D Mascarenhas,English,10/30/77,MEDIUM_SEAM,R,R
27,Kumar Sangakkara,K Sangakkara,Sri Lankan,10/27/77,OFF_SPIN,L,R
30,Amit Mishra,A Mishra,Indian,11/24/82,LEG_SPIN,R,R
31,Anand Rajan,A Rajan,Indian,4/17/87,,L,L
110,Tirumalasetti Suman,T Suman,Indian,12/15/83,,R,R
236,Chris Gayle,C Gayle,West Indian,9/21/79,OFF_SPIN,L,R
90,Manvinder Bisla,M Bisla,Indian,12/27/84,,R,R
200,Ryan ten Doeschate,R ten Doeschate,Dutch,6/30/80,MEDIUM_SEAM,R,R
201,Shakib Al Hasan,S Al Hasan,Bangladeshi,3/24/87,ORTHODOX,L,L
87,Lakshmipathy Balaji,L Balaji,Indian,9/27/81,MEDIUM_SEAM,R,R
172,Kevin Pietersen,K Pietersen,English,6/27/80,OFF_SPIN,R,R
175,Mahela Jayawardene,M Jayawardene,Sri Lankan,5/27/77,MEDIUM_SEAM,R,R
231,Brad Hogg,B Hogg,Australian,2/6/71,UNORTHODOX,L,L
160,Raju Bhatkal,R Bhatkal,Indian,9/1/85,MEDIUM_SEAM,R,R
254,Parvinder Awana,P Awana,Indian,7/19/86,MEDIUM_SEAM,R,R
124,Mithun Manhas,M Manhas,Indian,10/12/79,MEDIUM_SEAM,R,R
217,Angelo Mathews,A Mathews,Sri Lankan,6/2/87,MEDIUM_SEAM,R,R
23,Nuwan Kulasekara,N Kulasekara,Sri Lankan,7/22/82,FAST_SEAM,R,R
15,Yo Mahesh,Y Mahesh,Indian,12/21/87,MEDIUM_SEAM,R,R
86,Jaydev Unadkat,J Unadkat,Indian,10/18/91,MEDIUM_SEAM,R,L
74,Paras Dogra,P Dogra,Indian,11/19/84,LEG_SPIN,R,R
68,Bhargav Bhatt,B Bhatt,Indian,5/13/90,ORTHODOX,L,L
159,Mohammad Kaif,M Kaif,Indian,12/1/80,,L,L
162,Sreenath Aravind,S Aravind,Indian,4/8/84,MEDIUM_SEAM,L,L
144,Pankaj Singh,P Singh,Indian,5/6/85,FAST_SEAM,R,R
112,RP Singh,RP Singh,Indian,12/6/85,FAST_SEAM,R,L
208,Davy Jacobs,D Jacobs,South African,2/27/12,,R,L
207,Clint McKay,C McKay,Australian,2/22/83,FAST_SEAM,R,L
226,Ross Taylor,R Taylor,New Zealander,3/8/84,OFF_SPIN,R,R
47,Ajit Agarkar,A Agarkar,Indian,12/4/77,FAST_SEAM,R,R
141,Dishant Yagnik,D Yagnik,Indian,6/22/83,,L,L
245,Tanmay Mishra,T Mishra,Kenyan,12/22/86,,R,L
182,JP Duminy,JP Duminy,South African,4/14/84,OFF_SPIN,L,R
284,Abhishek Jhunjhunwala,A Jhunjhunwala,Indian,12/1/82,OFF_SPIN,R,R
240,Tillakaratne Dilshan,T Dilshan,Sri Lankan,10/14/76,OFF_SPIN,R,R
279,KP Appanna,KP Appanna,Indian,12/20/88,MEDIUM_SEAM,R,R
250,Veer Pratap Singh,VP Singh,Indian,5/3/92,MEDIUM_SEAM,R,R
16,Wriddhiman Saha,W Saha,Indian,10/24/84,,R,R
73,Nitin Saini,N Saini,Indian,10/28/88,FAST_SEAM,R,R
187,David Miller,D Miller,South African,6/10/89,OFF_SPIN,L,R
194,Azhar Mahmood,A Mahmood,English,2/28/75,MEDIUM_SEAM,R,R
153,Arun Karthik,A Karthik,Indian,2/15/86,,L,L
148,Stuart Binny,S Binny,Indian,6/3/84,MEDIUM_SEAM,R,R
53,Pawan Negi,P Negi,Indian,1/6/83,ORTHODOX,L,L
216,Alfonso Thomas,A Thomas,South African,2/9/77,MEDIUM_SEAM,R,R
215,Thisara Perera,NTLC Perera,Sri Lankan,4/3/89,MEDIUM_SEAM,L,R
80,Siddharth Chitnis,S Chitnis,Indian,5/6/87,OFF_SPIN,R,R
37,Ishank Jaggi,I Jaggi,Indian,1/27/89,LEG_SPIN,R,R
273,Ajit Chandila,A Chandila,Indian,1/1/12,LEG_SPIN,R,R
285,Luke Wright,L Wright,English,3/7/85,MEDIUM_SEAM,R,R
214,Robin Peterson,R Peterson,South African,8/4/79,ORTHODOX,R,L
34,Ashish Reddy,AA Reddy,Indian,2/24/81,MEDIUM_SEAM,R,R
183,Juan Theron,J Theron,American,7/24/85,MEDIUM_SEAM,R,R
205,Aiden Blizzard,A Blizzard,Australian,6/27/84,,L,L
262,Rahul Shukla,R Shukla,Indian,3/19/12,MEDIUM_SEAM,R,R
20,Michael Hussey,M Hussey,Australian,5/27/75,MEDIUM_SEAM,L,R
249,Biplap Samantray,B Samantray,Indian,12/14/88,ORTHODOX,L,L
29,Akshath Reddy,AP Reddy,Indian,2/11/91,MEDIUM_SEAM,R,R
286,Michael Clarke,M Clarke,Australian,4/2/81,ORTHODOX,R,L
227,Shane Watson,S Watson,Australian,6/17/81,MEDIUM_SEAM,R,R
154,Asad Pathan,A Pathan,Indian,6/17/84,LEG_SPIN,R,R
190,Ryan Harris,R Harris,Australian,10/11/79,FAST_SEAM,R,R
17,Ben Hilfenhaus,B Hilfenhaus,Australian,3/15/83,FAST_SEAM,R,R
253,Gurkeerat Mann Singh,GM Singh,Indian,6/29/90,OFF_SPIN,R,R
228,Shaun Tait,S Tait,Australian,2/22/83,FAST_SEAM,R,R
413,Dwayne Smith,DR Smith,West Indian,4/12/83,MEDIUM_SEAM,R,R
151,Abhimanyu Mithun,A Mithun,Indian,10/25/89,MEDIUM_SEAM,R,R
281,Syed Mohammad,S Mohammad,Indian,1/1/12,ORTHODOX,L,L
415,Prasanth Parameswaran DUPLICATE,Parameswaran,,5/30/85,MEDIUM_SEAM,R,L
